seat_code,seat,mp,19/12/2022,20/12/2022,13/2/2023,14/2/2023,15/2/2023,16/2/2023,20/2/2023,21/2/2023,22/2/2023,23/2/2023,24/2/2023,27/2/2023,28/2/2023,1/3/2023,2/3/2023,6/3/2023,7/3/2023,8/3/2023,9/3/2023,13/3/2023,14/3/2023,15/3/2023,16/3/2023,20/3/2023,21/3/2023,22/3/2023,23/3/2023,27/3/2023,28/3/2023,29/3/2023,30/3/2023,3/4/2023,4/4/2023,22/5/2023,23/5/2023,24/5/2023,25/5/2023,6/6/2023,7/6/2023,8/6/2023,12/6/2023,13/6/2023,14/6/2023,15/6/2023,9/10/2023,10/10/2023,11/10/2023,12/10/2023,13/10/2023,16/10/2023,17/10/2023,18/10/2023,19/10/2023,23/10/2023,24/10/2023,25/10/2023,26/10/2023,30/10/2023,31/10/2023,1/11/2023,2/11/2023,6/11/2023,7/11/2023,8/11/2023,9/11/2023,14/11/2023,15/11/2023,16/11/2023,20/11/2023,21/11/2023,22/11/2023,23/11/2023,27/11/2023,28/11/2023,29/11/2023,30/11/2023,26/2/2024,27/2/2024,28/2/2024,29/2/2024,04/3/2024,05/3/2024,06/3/2024,07/3/2024,11/3/2024,12/3/2024,13/3/2024,14/3/2024,18/3/2024,19/3/2024,20/3/2024,21/3/2024,25/3/2024,26/3/2024,27/3/2024,24/6/2024,25/6/2024,26/6/2024,27/6/2024,01/7/2024,total
P001,Padang Besar,RUSHDAN BIN RUSMI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96
P002,Kangar,ZAKRI BIN HASSAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100
P003,Arau,SHAHIDAN BIN KASSIM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100
P004,Langkawi,MOHD SUHAIMI BIN ABDULLAH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100
P005,Jerlun,ABDUL GHANI BIN AHMAD,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86
P006,Kubang Pasu,KU ABDUL RAHMAN BIN KU ISMAIL,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93
P007,Padang Terap,NURUL AMIN HAMID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99
P008,Pokok Sena,AHMAD BIN SAAD @ YAHAYA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,98
P009,Alor Setar,AFNAN HAMIMI TAIB AZAMUDDEN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100
P010,Kuala Kedah,AHMAD FAKHRUDDIN SHEIKH FAKHRURAZI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100
