mp,current_party,2022,2023,total,2022_%,2023_%,total_%
RUSHDAN BIN RUSMI,PAS,2,31,33,100.0,100.0,100.0
ZAKRI BIN HASSAN,BERSATU,2,31,33,100.0,100.0,100.0
SHAHIDAN BIN KASSIM,PAS,2,31,33,100.0,100.0,100.0
MOHD SUHAIMI BIN ABDULLAH,BERSATU,2,31,33,100.0,100.0,100.0
ABDUL GHANI BIN AHMAD,PAS,2,24,26,100.0,77.42,78.79
KU ABDUL RAHMAN BIN KU ISMAIL,BERSATU,2,26,28,100.0,83.87,84.85
NURUL AMIN HAMID,PAS,2,30,32,100.0,96.77,96.97
AHMAD BIN SAAD @ YAHAYA,PAS,2,31,33,100.0,100.0,100.0
AFNAN HAMIMI TAIB AZAMUDDEN,PAS,2,31,33,100.0,100.0,100.0
AHMAD FAKHRUDDIN SHEIKH FAKHRURAZI,PAS,2,31,33,100.0,100.0,100.0
AWANG BIN HASHIM,PAS,2,28,30,100.0,90.32,90.91
SABRI BIN AZIT,PAS,2,31,33,100.0,100.0,100.0
AHMAD TARMIZI BIN SULAIMAN,PAS,2,29,31,100.0,93.55,93.94
MOHD NAZRI ABU HASSAN,BERSATU,2,29,31,100.0,93.55,93.94
MOHAMMED TAUFIQ JOHARI,PKR,2,31,33,100.0,100.0,100.0
HASSAN SAAD,PAS,2,31,33,100.0,100.0,100.0
AZMAN BIN NASRUDIN,BERSATU,2,24,26,100.0,77.42,78.79
ROSLAN HASHIM,BERSATU,2,31,33,100.0,100.0,100.0
MUMTAZ BINTI MD. NAWI,PAS,2,31,33,100.0,100.0,100.0
AHMAD MARZUK BIN SHAARY,PAS,2,31,33,100.0,100.0,100.0
TAKIYUDDIN BIN HASSAN,PAS,2,27,29,100.0,87.1,87.88
AHMAD FADHLI BIN SHAARI,PAS,2,31,33,100.0,100.0,100.0
SITI ZAILAH BINTI MOHD YUSOFF,PAS,2,31,33,100.0,100.0,100.0
TUAN IBRAHIM BIN TUAN MAN,PAS,2,27,29,100.0,87.1,87.88
MOHD SYAHIR BIN CHE SULAIMAN,PAS,2,31,33,100.0,100.0,100.0
KHLIR MOHD NOR,PAS,2,31,33,100.0,100.0,100.0
IKMAL HISHAM BIN ABDUL AZIZ,BERSATU,2,24,26,100.0,77.42,78.79
NIK MUHAMMAD ZAWAWI BIN SALLEH,PAS,2,31,33,100.0,100.0,100.0
WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,BERSATU,2,30,32,100.0,96.77,96.97
ZAHARI KECHIK,BERSATU,2,31,33,100.0,100.0,100.0
ABDUL LATIFF BIN ABDUL RAHMAN,PAS,2,31,33,100.0,100.0,100.0
MOHD AZIZI BIN ABU NAIM,BERSATU,2,31,33,100.0,100.0,100.0
CHE MOHAMMAD ZULKIFLY JUSOH,PAS,2,28,30,100.0,90.32,90.91
SHAHARIZUKIRNAIN BIN ABD KADIR,PAS,2,31,33,100.0,100.0,100.0
ALIAS BIN RAZAK,PAS,2,26,28,100.0,83.87,84.85
AHMAD AMZAD BIN MOHAMED @ HASHIM,PAS,2,29,31,100.0,93.55,93.94
ABDUL HADI BIN AWANG,PAS,2,12,14,100.0,38.71,42.42
ROSOL BIN WAHID,BERSATU,1,29,30,50.0,93.55,90.91
WAN HASSAN BIN MOHD RAMLI,PAS,2,31,33,100.0,100.0,100.0
CHE ALIAS BIN HAMID,PAS,2,31,33,100.0,100.0,100.0
SITI MASTURA MUHAMMAD,PAS,2,31,33,100.0,100.0,100.0
WAN SAIFULRUDDIN WAN JAN,BERSATU,2,25,27,100.0,80.65,81.82
LIM GUAN ENG,DAP,2,31,33,100.0,100.0,100.0
MUHAMMAD FAWWAZ MAT JAN,PAS,2,31,33,100.0,100.0,100.0
SIM CHEE KEONG,DAP,2,22,24,100.0,70.97,72.73
CHOW KON YEOW,DAP,2,14,16,100.0,45.16,48.48
FADHLINA SIDDIQ,PKR,2,30,32,100.0,96.77,96.97
SYERLEENA ABDUL RASHID,DAP,2,29,31,100.0,93.55,93.94
LIM HUI YING,DAP,2,29,31,100.0,93.55,93.94
SANISVARA NETHAJI RAYER A/L RAJAJI,DAP,2,31,33,100.0,100.0,100.0
RAMKARPAL SINGH A/L KARPAL SINGH,DAP,2,30,32,100.0,96.77,96.97
SIM TZE TZIN,PKR,2,31,33,100.0,100.0,100.0
MUHAMMAD BAKHTIAR BIN WAN CHIK,PKR,2,31,33,100.0,100.0,100.0
FATHUL HUZIR AYOB,BERSATU,2,30,32,100.0,96.77,96.97
SHAMSUL ANUAR BIN NASARAH,UMNO,2,29,31,100.0,93.55,93.94
HAMZAH BIN ZAINUDIN,BERSATU,2,19,21,100.0,61.29,63.64
MOHD MISBAHUL MUNIR MASDUKI,PAS,2,31,33,100.0,100.0,100.0
IDRIS BIN AHMAD,PAS,2,31,33,100.0,100.0,100.0
SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,BERSATU,2,20,22,100.0,64.52,66.67
WONG KAH WOH,DAP,2,31,33,100.0,100.0,100.0
AZAHARI HASAN,BERSATU,2,29,31,100.0,93.55,93.94
KESAVAN A/L SUBRAMANIAM,PKR,2,30,32,100.0,96.77,96.97
ANWAR BIN IBRAHIM,PKR,2,17,19,100.0,54.84,57.58
LEE CHUAN HOW,DAP,2,31,33,100.0,100.0,100.0
M. KULASEGARAN A/L V. MURUGESON,DAP,2,31,33,100.0,100.0,100.0
SIVAKUMAR A/L VARATHARAJU NAIDU,DAP,2,20,22,100.0,64.52,66.67
ISKANDAR DZULKARNAIN ABDUL KHALID,BERSATU,2,31,33,100.0,100.0,100.0
NGEH KOO HAM,DAP,2,28,30,100.0,90.32,90.91
MUHAMMAD ISMI MAT TAIB,PAS,2,30,32,100.0,96.77,96.97
CHONG ZHEMIN,DAP,2,31,33,100.0,100.0,100.0
TAN KAR HING,DAP,2,28,30,100.0,90.32,90.91
SARAVANAN A/L MURUGAN,MIC,1,15,16,50.0,48.39,48.48
JAMALUDIN YAHYA,PAS,2,31,33,100.0,100.0,100.0
NORDIN AHMAD ISMAIL,BERSATU,2,31,33,100.0,100.0,100.0
AHMAD ZAHID BIN HAMIDI,UMNO,2,15,17,100.0,48.39,51.52
NGA KOR MING,DAP,1,24,25,50.0,77.42,75.76
CHANG LIH KANG,PKR,2,19,21,100.0,61.29,63.64
RAMLI BIN DATO' MOHD NOR,UMNO,2,30,32,100.0,96.77,96.97
ABDUL RAHMAN BIN MOHAMAD,UMNO,2,26,28,100.0,83.87,84.85
CHOW YU HUI,DAP,2,31,33,100.0,100.0,100.0
KHAIRIL NIZAM BIN KHIRUDIN,PAS,2,30,32,100.0,96.77,96.97
SAIFUDDIN BIN ABDULLAH,BERSATU,2,27,29,100.0,87.1,87.88
WAN RAZALI BIN WAN NOR,PAS,2,31,33,100.0,100.0,100.0
MOHD SHAHAR BIN ABDULLAH,UMNO,2,29,31,100.0,93.55,93.94
SH MOHAMED PUZI SH ALI,UMNO,2,31,33,100.0,100.0,100.0
ISMAIL BIN ABD. MUTTALIB,PAS,2,31,33,100.0,100.0,100.0
KAMAL ASHAARI,PAS,2,31,33,100.0,100.0,100.0
SALAMIAH MOHD NOR,PAS,2,31,33,100.0,100.0,100.0
YOUNG SYEFURA OTHMAN,DAP,2,31,33,100.0,100.0,100.0
ISMAIL SABRI BIN YAAKOB,UMNO,2,20,22,100.0,64.52,66.67
ABDUL KHALIB ABDULLAH,BERSATU,2,29,31,100.0,93.55,93.94
KALAM BIN SALAN,BERSATU,2,30,32,100.0,96.77,96.97
MUSLIMIN BIN YAHAYA,BERSATU,2,29,31,100.0,93.55,93.94
MOHD HASNIZAN HARUN,BERSATU,2,31,33,100.0,100.0,100.0
ZULKAFPERI HANAPI,BERSATU,2,31,33,100.0,100.0,100.0
DZULKEFLY BIN AHMAD,AMANAH,2,31,33,100.0,100.0,100.0
WILLIAM LEONG JEE KEEN,PKR,2,31,33,100.0,100.0,100.0
AMIRUDIN BIN SHARI,PKR,2,19,21,100.0,61.29,63.64
RODZIAH BINTI ISMAIL,PKR,2,31,33,100.0,100.0,100.0
MOHD RAFIZI BIN RAMLI,PKR,2,19,21,100.0,61.29,63.64
MOHD SANY HAMZAN,AMANAH,2,31,33,100.0,100.0,100.0
SYAHREDZAN JOHAN,DAP,2,31,33,100.0,100.0,100.0
YEO BEE YIN,DAP,2,30,32,100.0,96.77,96.97
WONG CHEN,PKR,2,27,29,100.0,87.1,87.88
LEE CHEAN CHUNG,PKR,2,27,29,100.0,87.1,87.88
GOBIND SINGH DEO,DAP,2,29,31,100.0,93.55,93.94
RAMANAN RAMAKRISHNAN,PKR,2,31,33,100.0,100.0,100.0
AZLI YUSOF,AMANAH,2,31,33,100.0,100.0,100.0
HALIMAH BINTI ALI,PAS,2,31,33,100.0,100.0,100.0
GANABATIRAU A/L VERAMAN,DAP,2,31,33,100.0,100.0,100.0
MOHAMAD BIN SABU,AMANAH,2,27,29,100.0,87.1,87.88
AHMAD YUNUS BIN HAIRI,PAS,2,31,33,100.0,100.0,100.0
RAJ MUNNI SABU @ AIMAN ATHIRAH AL JUNDI,AMANAH,2,31,33,100.0,100.0,100.0
LIM LIP ENG,DAP,2,31,33,100.0,100.0,100.0
PRABAKARAN A/L M PARAMESWARAN,PKR,2,27,29,100.0,87.1,87.88
ZAHIR HASSAN,PKR,2,31,33,100.0,100.0,100.0
HANNAH YEOH TSEOW SUAN,DAP,2,30,32,100.0,96.77,96.97
NIK NAZMI BIN NIK AHMAD,PKR,2,19,21,100.0,61.29,63.64
JOHARI BIN ABDUL GHANI,UMNO,2,30,32,100.0,96.77,96.97
FONG KUI LUN,DAP,2,31,33,100.0,100.0,100.0
AHMAD FAHMI BIN MOHAMED FADZIL,PKR,2,24,26,100.0,77.42,78.79
TERESA KOK SUH SIM,DAP,2,31,33,100.0,100.0,100.0
TAN KOK WAI,DAP,2,28,30,100.0,90.32,90.91
WAN AZIZAH BINTI WAN ISMAIL,PKR,2,26,28,100.0,83.87,84.85
MOHD RADZI BIN JIDIN,BERSATU,2,31,33,100.0,100.0,100.0
JALALUDDIN BIN ALIAS,UMNO,2,25,27,100.0,80.65,81.82
SHAMSULKAHAR BIN MOHD DELI,UMNO,2,31,33,100.0,100.0,100.0
LOKE SIEW FOOK,DAP,2,26,28,100.0,83.87,84.85
ADNAN ABU HASSAN,UMNO,2,28,30,100.0,90.32,90.91
CHA KEE CHIN,DAP,2,31,33,100.0,100.0,100.0
MOHAMAD BIN HASAN,UMNO,2,15,17,100.0,48.39,51.52
AMINUDDIN BIN HARUN,PKR,2,17,19,100.0,54.84,57.58
MOHD ISAM MOHD ISA,UMNO,2,31,33,100.0,100.0,100.0
MAS ERMIEYATI BINTI SAMSUDIN,BERSATU,2,29,31,100.0,93.55,93.94
ADLY ZAHARI,AMANAH,2,29,31,100.0,93.55,93.94
BAKRI JAMALUDDIN,PAS,2,31,33,100.0,100.0,100.0
ADAM ADLI ABD HALIM,PKR,2,27,29,100.0,87.1,87.88
KHOO POAY TIONG,DAP,2,31,33,100.0,100.0,100.0
ZULKIFLI BIN ISMAIL,PAS,2,31,33,100.0,100.0,100.0
YUNESWARAN A/L RAMARAJ ,PKR,2,30,32,100.0,96.77,96.97
ZALIHA MUSTAFA,PKR,2,27,29,100.0,87.1,87.88
PANG HOK LIONG,DAP,2,30,32,100.0,96.77,96.97
MAHIADDIN BIN MD YASIN,BERSATU,2,26,28,100.0,83.87,84.85
SYED IBRAHIM BIN SYED NOH,PKR,2,31,33,100.0,100.0,100.0
TAN HONG PIN,DAP,2,31,33,100.0,100.0,100.0
SYED SADDIQ BIN SYED ABDUL RAHMAN,MUDA,2,31,33,100.0,100.0,100.0
NORAINI BINTI AHMAD,UMNO,2,29,31,100.0,93.55,93.94
WEE KA SIONG,MCA,2,27,29,100.0,87.1,87.88
AMINOLHUDA BIN HASSAN,AMANAH,2,31,33,100.0,100.0,100.0
ONN ABU BAKAR,PKR,2,28,30,100.0,90.32,90.91
HASNI BIN MOHAMMAD,UMNO,2,25,27,100.0,80.65,81.82
WONG SHU QI,DAP,2,31,33,100.0,100.0,100.0
HISHAMMUDDIN BIN DATUK HUSSEIN,UMNO,2,15,17,100.0,48.39,51.52
MUHAMMAD ISLAHUDDIN ABAS,BERSATU,2,31,33,100.0,100.0,100.0
MANNDZRI NASIB,UMNO,2,31,33,100.0,100.0,100.0
MOHAMED KHALED NORDIN,UMNO,2,16,18,100.0,51.61,54.55
AZALINA BINTI OTHMAN,UMNO,2,22,24,100.0,70.97,72.73
JIMMY PUAH WEE TSE,PKR,2,30,32,100.0,96.77,96.97
HASSAN BIN ABDUL KARIM,PKR,2,26,28,100.0,83.87,84.85
AKMAL NASRULLAH BIN MOHD NASIR,PKR,2,31,33,100.0,100.0,100.0
SALAHUDDIN BIN AYUB,AMANAH,2,22,24,100.0,70.97,72.73
